,cons_CYP,cons_SRD5A,cons_UGT2B7,cons_CYP19A1,cons_HSD17B,cons_AR,cons_SHBG,Det,EI,Det_swiss,diff,Class
Gestrinone,0.06358426225535241,0.0,0.0,0.318960750261251,0.0,0.7286522077938717,0.9381995133819951,0.06374017810302575,0.7095781079637846,0.020887292370622222,0.04285288573240353,III
Mestanolone,0.11086786568575577,0.11150186548,0.127302569502,0.642261139870313,0.27481033440647523,0.8594898727126227,1.0,0.2104482443870334,0.858197164330374,0.21777160534488887,-0.007323360957855463,II
Mesterolone,0.09008887006503291,0.11150186548,0.135202128368,0.5877960996252962,0.22064571723090576,0.8691871199822228,0.9017031630170317,0.1932471895007432,0.8226637288212801,0.25832291821674447,-0.06507572871600126,II
Metenolone,0.2630212019024927,0.45211599248555434,0.0,0.6981505104803261,0.1200345637026683,0.7957067581085804,0.8827250608272506,0.3181161311636052,0.8023009993985305,0.2547496737319,0.06336645743170521,II
Methandriol,0.3805045386198567,0.0,0.0,0.4749214329834468,0.1327939108705077,0.8427110209727081,0.980898875296,0.17964374068953198,0.8106094596718434,0.1130858858481,0.06655785484143198,II
Methasterone,0.1288333784136354,0.101613854776,0.11827708477200001,0.7131047559949563,0.25347198131855114,0.762541927021142,0.8888306933495718,0.21866082952170743,0.7905411227144339,0.2271403395227778,-0.008479510001070362,II
Methyl-1-testosterone,0.23508443129088766,0.3056330637279737,0.0,0.6619064522341856,0.10316335511128727,0.8005242450934993,0.8681265206812652,0.26006333028737055,0.7930813691979663,0.24658743651727774,0.013475893770092812,II
Methylclostebol,0.13832429419276016,0.32093751271331966,0.0,0.5779599385933507,0.08005297463517792,0.7055857986961953,0.5607365424871066,0.22556161561470633,0.6366058498128998,0.06864402927092222,0.1569175863437841,II
Methyldienolone,0.10956458298093875,0.37786422732627445,0.0,0.6205269119441053,0.11605074894011479,0.9097070051939062,0.7361223706591378,0.2454345256287443,0.7997955961835155,0.12727640152467665,0.11815812410406765,II
Methylnortestosterone,0.29673079072983793,0.5435892681075358,0.0,0.730630686603746,0.22200391789038443,0.8700371070670052,1.0,0.36905447289432053,0.8811446908542517,0.2567068050073055,0.112347667887015,I
Methyltestosterone,0.27002445846677786,0.5431026501026694,0.0,0.6982705892801451,0.1543419010921038,0.8376770097434042,0.9352798053527981,0.35061168814872745,0.8390765643335706,0.2519954284421944,0.09861625970653304,I
Metribolone,0.11364511857630538,0.3168925343977255,0.0,0.48028783728443425,0.0656934306569343,0.8255508009701,0.9381995133819951,0.20209155862175257,0.7902928219565355,0.06512269325535,0.13696886536640257,II
Mibolerone,0.2455814866951852,0.38713348778834944,0.0,0.6649707143369394,0.12506116533026537,0.8870783990512209,0.8627737226277372,0.28978714169386854,0.8353654591813194,0.24590459336928885,0.04388254832457969,II
Nandrolone,0.23018868236755685,0.5741163019009917,0.0,0.6301808277280855,0.11625629117968693,0.8974844893102539,0.9021897810218978,0.33593481443936823,0.8454353445073134,0.2610903037804333,0.07484451065893494,II
Norboletone,0.25651835761530845,0.3256563326922549,0.0,0.5300959166745758,0.17073540969588222,0.7659795249547025,0.8749953902647055,0.2584144176822782,0.7515075628916781,0.19169373475895554,0.06672068292332264,II
Norclostebol,0.10502376301098748,0.28440528818287475,0.0,0.4230798168928971,0.08052763458488363,0.7107218581532924,0.5563826766403124,0.1830922632000322,0.6068916954473194,0.06197986360176111,0.12111239959827108,II
Norethandrolone,0.28924522587160717,0.4109996690564526,0.0,0.7202739685160567,0.182437805011369,0.7476170928120047,0.9287862283628437,0.32189608296338296,0.7964992086180669,0.2360032595889611,0.08589282337442186,II
Oxabolone,0.21048133762306728,0.29657073830452924,0.0,0.45546388602471216,0.10617762129040172,0.7570408865719704,0.6531981322135737,0.22052890092987257,0.6655726601549998,0.16206976256210442,0.05845913836776814,II
Oxandrolone,0.06694068251876353,0.11150186548,0.15117008925769343,0.49096427718887176,0.06839489593261314,0.6556856486951571,0.2835301865812944,0.16090387929682162,0.5110947357597413,0.0851965035419111,0.07570737575491052,II
Oxymesterone,0.21817482610444092,0.3652197511561421,0.0,0.642671686862854,0.13338897975515845,0.7947802707194641,0.769337291484548,0.27384928287789684,0.7567256601776672,0.16183001611945003,0.11201926675844681,II
Oxymetholone,0.17183739597273734,0.0,0.0,0.25359162318798223,0.23667224166486442,0.802892811788571,0.4014794820473071,0.10466531663786813,0.572608575146074,0.034309136258622225,0.0703561803792459,III
Prasterone,0.19317736252534978,0.35837122492253415,0.0,0.8196344172755342,0.13000046507961194,0.6774204428910727,0.9318734793187348,0.29175091720738905,0.7821991486962636,0.18612108234225,0.10562983486513905,II
Prostanozol,0.21625530748796834,0.0,0.0,0.4449383856828273,0.09140906783627922,0.48347266450461046,0.0,0.1299454915080441,0.3307240093888707,0.0,0.1299454915080441,III
Quinbolone,0.14834971823718812,0.19118115676685254,0.0,0.5537778556409971,0.0,0.5493878351509496,0.0,0.17750845493550238,0.38544948870367424,0.05224010432147777,0.1252683506140246,II
Stanozolol,0.4282785483736047,0.0,0.0,0.39679099486136554,0.1305864070000851,0.8820895068593051,0.14209245742092458,0.1796469270226145,0.563030689628203,0.1102556882818111,0.0693912387408034,II
Stenbolone,0.2551090619338321,0.41245952307105105,0.0,0.5966354268096676,0.1291319326127841,0.8748489506535009,0.9401459854014599,0.2899236296875019,0.8387953563091219,0.21956604521300555,0.07035758447449636,II
Testosterone,0.26353690120913,0.5781944080054404,0.0,0.6662123718393133,0.1525281293794803,0.9162388548421267,0.9352798053527981,0.35452721641775964,0.8719458433947654,0.27225933888061665,0.08226787753714299,I
Tetrahydrogestrinone,0.1327114794898191,0.22702023777414698,0.101613854776,0.46016583060267185,0.0,0.7457568094997985,0.7993852064630345,0.19063158675029965,0.704727132809344,0.07909962458902223,0.11153196216127742,II
Tibolone,0.21585339841666182,0.0,0.0,0.3028577611638391,0.0,0.745334937009054,0.5090396213100515,0.09939201377874132,0.5859509071303102,0.05148767722551111,0.04790433655323021,III
Trenbolone,0.13678416602276935,0.36065463842828616,0.100578902067,0.43966026206646747,0.06309813463098134,0.8007991731266847,0.8272258966840681,0.23476706622064644,0.7364994079818562,0.09626372279232778,0.13850334342831866,II
Trestolone,0.22682364181829623,0.5297039453770988,0.0,0.5870965621267356,0.1240918584926654,0.8765802903476777,0.8734793187347932,0.31609076423598054,0.8177532532196239,0.281565989223,0.03452477501298051,II
